2026/08/15 02:51:29 [ACTION] APP_START - scanDOC TUI started
2026/08/15 02:51:32 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 02:51:32 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 02:51:33 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 02:51:33 [KEYPRESS] Key: 'enter' | Screen: home
2026/08/15 02:51:34 [KEYPRESS] Key: 'left' | Screen: document_inspector
2026/08/15 02:51:35 [KEYPRESS] Key: 'down' | Screen: document_inspector
2026/08/15 02:51:35 [KEYPRESS] Key: 'down' | Screen: document_inspector
2026/08/15 02:51:36 [KEYPRESS] Key: 'enter' | Screen: document_inspector
2026/08/15 02:51:38 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:51:38 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:51:38 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:51:39 [KEYPRESS] Key: 'enter' | Screen: model_manager
2026/08/15 02:51:39 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:51:39 [KEYPRESS] Key: 'enter' | Screen: model_manager
2026/08/15 02:51:40 [KEYPRESS] Key: 'd' | Screen: model_manager
2026/08/15 02:51:40 [ACTION] MODEL_DOWNLOAD - Successfully downloaded model: smolvlm_local
2026/08/15 02:51:41 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:51:41 [KEYPRESS] Key: 'up' | Screen: model_manager
2026/08/15 02:51:42 [KEYPRESS] Key: 'd' | Screen: model_manager
2026/08/15 02:51:42 [ACTION] MODEL_DOWNLOAD - Successfully downloaded model: pix2text_formula
2026/08/15 02:51:43 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:51:43 [KEYPRESS] Key: 'left' | Screen: model_manager
2026/08/15 02:51:44 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:51:44 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:51:44 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:51:46 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:51:46 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:51:46 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:51:47 [KEYPRESS] Key: 'up' | Screen: model_manager
2026/08/15 02:51:47 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:51:47 [KEYPRESS] Key: 'down' | Screen: model_manager
2026/08/15 02:51:48 [KEYPRESS] Key: 'enter' | Screen: model_manager
2026/08/15 02:51:50 [KEYPRESS] Key: 'esc' | Screen: help
2026/08/15 02:51:50 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 02:51:51 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 02:51:51 [KEYPRESS] Key: 'left' | Screen: home
2026/08/15 02:51:52 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 02:51:52 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:51:53 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:51:53 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:51:53 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:51:53 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:51:53 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:51:53 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:51:53 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:51:53 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:51:53 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:51:53 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:51:53 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:51:53 [KEYPRESS] Key: 'up' | Screen: home
2026/08/15 02:51:53 [KEYPRESS] Key: 'down' | Screen: home
2026/08/15 02:51:54 [KEYPRESS] Key: 'enter' | Screen: home
2026/08/15 02:51:54 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:51:55 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:51:55 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:51:55 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:51:55 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:51:55 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:51:55 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:51:55 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:51:55 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:51:55 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:51:55 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:51:55 [KEYPRESS] Key: 'down' | Screen: file_picker
2026/08/15 02:51:56 [KEYPRESS] Key: 'backspace' | Screen: file_picker
2026/08/15 02:51:57 [KEYPRESS] Key: 'backspace' | Screen: file_picker
